Client,Shelf_1,Shelf_2,Shelf_3,Shelf_4,Quantity_1,Quantity_2,Quantity_3,Quantity_4
client1,D,A,B,C,19,4,23,11
client2,B,C,A,D,16,8,1,20
client3,A,B,C,D,17,7,5,14
client4,A,B,C,D,20,8,19,11
client5,A,B,C,D,23,9,11,12
client6,A,B,C,D,8,11,3,13
client7,A,B,C,D,24,23,20,9
client8,A,B,C,D,21,14,4,7
client9,A,B,C,D,21,2,15,18
client10,A,B,C,D,2,21,6,15
client11,A,B,C,D,22,25,9,9
client12,A,B,C,D,22,23,17,10
client13,A,B,C,D,22,5,21,17
client14,A,B,C,D,5,22,25,18
client15,A,B,C,D,3,23,23,1
client16,A,B,C,D,6,13,12,8
client17,A,B,C,D,6,21,18,19
client18,A,B,C,D,9,14,8,10
client19,A,B,C,D,9,2,7,21
client20,A,B,C,D,18,1,24,20
client21,A,B,C,D,16,24,13,7
client22,A,B,C,D,1,4,6,14
client23,A,B,C,D,5,19,17,9
client24,A,B,C,D,7,14,14,11
client25,A,B,C,D,21,11,16,3
client26,A,B,C,D,12,2,19,10
client27,A,B,C,D,13,9,25,9
client28,A,B,C,D,19,23,5,7
client29,A,B,C,D,14,18,8,14
client30,A,B,C,D,13,8,6,3
client31,A,B,C,D,21,23,5,21
client32,A,B,C,D,16,10,11,24
client33,A,B,C,D,13,10,20,5
client34,A,B,C,D,3,22,25,12
client35,A,B,C,D,7,1,4,4
client36,A,B,C,D,22,9,2,17
client37,A,B,C,D,21,15,21,2
client38,A,B,C,D,24,11,14,23
client39,A,B,C,D,23,25,12,7
client40,A,B,C,D,3,23,6,6
client41,A,B,C,D,21,16,15,7
client42,A,B,C,D,4,14,23,6
client43,A,B,C,D,7,18,9,9
client44,A,B,C,D,19,4,7,1
client45,A,B,C,D,14,6,25,1
client46,A,B,C,D,16,9,1,17
client47,A,B,C,D,14,18,16,1
client48,A,B,C,D,10,24,15,25
client49,A,B,C,D,15,15,1,1
client50,A,B,C,D,15,3,4,14
client51,A,B,C,D,18,21,16,5
client52,A,B,C,D,11,17,12,1
client53,A,B,C,D,16,17,10,18
client54,A,B,C,D,10,5,7,24
client55,A,B,C,D,13,21,16,22
client56,A,B,C,D,3,23,20,21
client57,A,B,C,D,20,11,19,21
client58,A,B,C,D,19,12,17,24
client59,A,B,C,D,18,17,22,9
client60,A,B,C,D,24,9,8,4
client61,A,B,C,D,1,17,11,10
client62,A,B,C,D,10,1,19,2
client63,A,B,C,D,11,21,14,18
client64,A,B,C,D,16,21,16,10
client65,A,B,C,D,19,9,7,1
client66,A,B,C,D,2,21,9,3
client67,A,B,C,D,17,19,1,5
client68,A,B,C,D,14,19,5,14
client69,A,B,C,D,20,17,1,24
client70,A,B,C,D,5,16,8,17
client71,A,B,C,D,10,22,18,11
client72,A,B,C,D,14,9,10,8
client73,A,B,C,D,3,9,6,12
client74,A,B,C,D,14,5,4,18
client75,A,B,C,D,18,14,25,17
client76,A,B,C,D,18,15,20,14
client77,A,B,C,D,21,2,22,24
client78,A,B,C,D,15,18,11,19
client79,A,B,C,D,19,5,10,10
client80,A,B,C,D,16,8,20,20
client81,A,B,C,D,11,25,1,19
client82,A,B,C,D,11,18,1,25
client83,A,B,C,D,20,24,18,13
client84,A,B,C,D,18,6,14,21
client85,A,B,C,D,7,15,8,3
client86,A,B,C,D,6,5,5,4
client87,A,B,C,D,10,5,24,2
client88,A,B,C,D,25,3,3,9
client89,A,B,C,D,23,10,14,21
client90,A,B,C,D,20,16,2,13
client91,A,B,C,D,1,7,19,7
client92,A,B,C,D,6,14,22,23
client93,A,B,C,D,9,6,1,9
client94,A,B,C,D,9,6,12,10
client95,A,B,C,D,17,4,23,8
client96,A,B,C,D,23,19,25,16
client97,A,B,C,D,10,24,17,18
client98,A,B,C,D,22,14,12,13
client99,A,B,C,D,7,2,8,8
client100,A,B,C,D,16,13,2,16
